iter	Passed	Remaining
398	138420	104422
399	138791	104093
400	139131	103741
401	139448	103372
402	139770	103007
403	140135	102673
404	140508	102345
405	140875	102012
406	141237	101677
407	141580	101327
408	141906	100965
409	142247	100613
410	142581	100258
411	142921	99906
412	143263	99556
413	143590	99195
414	143922	98838
415	144291	98506
416	144616	98145
417	144939	97782
418	145264	97420
419	145578	97052
420	145889	96682
421	146207	96316
422	146535	95958
423	146842	95586
424	147163	95223
425	147481	94859
426	147795	94492
427	148123	94134
428	148444	93772
429	148769	93413
430	149102	93059
431	149440	92708
432	149751	92341
433	150127	92013
434	150466	91663
435	150763	91287
436	151087	90928
437	151388	90556
438	151701	90191
439	152040	89842
440	152325	89460
441	152620	89086
442	152945	88729
443	153307	88393
444	153627	88033
445	153957	87679
446	154261	87311
447	154593	86958
448	154886	86584
449	155190	86216
450	155496	85850
451	155787	85476
452	156101	85114
453	156414	84753
454	156744	84401
455	157069	84046
456	157372	83679
457	157658	83304
458	157975	82945
459	158291	82586
460	158602	82225
461	158949	81882
462	159255	81519
463	159596	81174
464	159904	80811
465	160250	80469
466	160587	80122
467	160922	79773
468	161304	79448
469	161626	79093
470	161972	78751
471	162321	78409
472	162671	78068
473	163014	77724
474	163363	77382
475	163676	77024
476	164031	76685
477	164400	76353
478	164739	76007
479	165093	75668
480	165417	75314
481	165729	74956
482	166067	74609
483	166374	74249
484	166678	73888
485	166985	73528
486	167319	73180
487	167671	72840
488	167999	72490
489	168319	72137
490	168658	71791
491	168976	71437
492	169283	71078
493	169610	70728
494	169908	70366
495	170234	70015
496	170539	69656
497	170881	69313
498	171218	68967
499	171576	68630
500	171912	68284
501	172260	67943
502	172601	67599
503	172921	67247
504	173245	66896
505	173556	66541
506	173895	66197
507	174222	65848
508	174538	65494
509	174868	65146
510	175214	64805
511	175524	64450
512	175848	64100
513	176137	63738
514	176405	63368
515	176684	63003
516	176985	62646
517	177255	62278
518	177525	61911
519	177806	61548
520	178101	61190
521	178425	60842
522	178719	60484
523	179005	60123
524	179282	59760
525	179553	59395
526	179833	59034
527	180128	58678
528	180399	58314
529	180677	57953
530	180967	57596
531	181244	57235
532	181507	56870
533	181772	56505
534	182063	56150
535	182339	55790
536	182613	55430
537	182894	55072
538	183181	54716
539	183460	54358
540	183728	53997
541	184015	53642
542	184278	53281
543	184549	52922
544	184814	52561
545	185104	52208
546	185381	51852
547	185647	51493
548	185925	51137
549	186211	50785
550	186498	50432
551	186784	50079
552	187094	49733
553	187363	49377
554	187663	49029
555	187990	48688
556	188312	48345
557	188595	47993
558	188896	47646
559	189210	47302
560	189504	46953
561	189814	46609
562	190160	46273
563	190473	45929
564	190790	45587
565	191099	45242
566	191396	44895
567	191718	44554
568	192027	44210
569	192350	43869
570	192665	43526
571	192967	43181
572	193265	42835
573	193546	42485
574	193888	42149
575	194268	41821
576	194569	41476
577	194876	41133
578	195202	40793
579	195508	40450
580	195826	40109
581	196128	39764
582	196409	39416
583	196698	39070
584	197001	38726
585	197299	38382
586	197591	38037
587	197860	37687
588	198137	37339
589	198405	36990
590	198687	36644
591	198949	36294
592	199244	35951
593	199514	35603
594	199846	35267
595	200141	34923
596	200426	34579
597	200709	34234
598	201004	33892
599	201319	33553
600	201620	33212
601	201904	32868
602	202230	32531
603	202519	32188
604	202794	31843
605	203084	31501
606	203354	31156
607	203624	30811
608	203886	30465
609	204179	30124
610	204447	29780
611	204711	29435
612	204964	29089
613	205249	28748
614	205509	28403
615	205784	28061
616	206053	27718
617	206342	27378
618	206615	27036
619	206875	26693
620	207147	26352
621	207409	26009
622	207678	25668
623	207948	25327
624	208227	24987
625	208503	24647
626	208785	24308
627	209057	23968
628	209332	23628
629	209613	23290
630	209869	22949
631	210152	22611
632	210428	22272
633	210712	21935
634	210982	21596
635	211273	21260
636	211530	20920
637	211805	20582
638	212066	20244
639	212391	19911
640	212663	19574
641	212926	19236
642	213200	18899
643	213478	18563
644	213740	18225
645	214017	17889
646	214298	17554
647	214571	17218
648	214832	16882
649	215102	16546
650	215376	16211
651	215645	15875
652	215905	15539
653	216192	15206
654	216459	14871
655	216737	14537
656	217006	14202
657	217302	13870
658	217571	13536
659	217864	13203
660	218183	12873
661	218530	12544
662	218866	12214
663	219206	11884
664	219507	11553
665	219805	11221
666	220088	10888
667	220422	10559
668	220713	10227
669	221000	9895
670	221315	9565
671	221615	9233
672	221899	8902
673	222192	8571
674	222509	8241
675	222796	7909
676	223079	7578
677	223382	7248
678	223660	6917
679	223945	6586
680	224288	6257
681	224577	5927
682	224872	5597
683	225191	5267
684	225493	4937
685	225778	4607
686	226057	4277
687	226337	3947
688	226604	3617
689	226870	3287
690	227128	2958
691	227413	2629
692	227672	2299
693	227942	1970
694	228206	1641
695	228496	1313
696	228743	984
697	229016	656
698	229315	328
699	229584	0
